CompetitionID,SessionID,GameID,EndID,RefTeamID,OppTeamID,RefScoreDiffStartOfEnd,RefHasHammerStartOfEnd,RefPPAvailableAtStart,OppPPAvailableBeforeEnd,UsedPP,RefBTAbilityDiff,EndsRemaining
0,1,1,1,27,19,0,1,1,1,0,-0.22399979421492056,7
0,1,1,2,19,27,-1,1,1,1,0,0.22399979421492056,6
0,1,1,3,27,19,-1,1,1,1,0,-0.22399979421492056,5
0,1,1,4,19,27,-2,1,1,1,0,0.22399979421492056,4
0,1,1,5,27,19,1,1,1,1,0,-0.22399979421492056,3
0,1,1,6,27,19,-1,1,1,1,1,-0.22399979421492056,2
0,1,1,7,19,27,0,1,1,0,1,0.22399979421492056,1
0,1,2,1,46,20,0,1,1,1,0,-0.35830485427120845,7
0,1,2,2,20,46,-1,1,1,1,0,0.35830485427120845,6
0,1,2,3,46,20,0,1,1,1,0,-0.35830485427120845,5
0,1,2,4,20,46,-1,1,1,1,0,0.35830485427120845,4
0,1,2,5,46,20,0,1,1,1,0,-0.35830485427120845,3
0,1,2,6,46,20,-1,1,1,1,1,-0.35830485427120845,2
0,1,2,7,20,46,-2,1,1,0,1,0.35830485427120845,1
0,1,3,1,22,17,0,1,1,1,0,-1.1688821530435876,7
0,1,3,2,22,17,-1,1,1,1,0,-1.1688821530435876,6
0,1,3,3,22,17,-2,1,1,1,0,-1.1688821530435876,5
0,1,3,4,17,22,0,1,1,1,0,1.1688821530435876,4
0,1,3,5,22,17,-1,1,1,1,0,-1.1688821530435876,3
0,1,3,6,17,22,0,1,1,1,1,1.1688821530435876,2
0,1,3,7,22,17,-2,1,1,0,1,-1.1688821530435876,1
0,1,4,1,43,18,0,1,1,1,0,-1.0982416043783472,7
0,1,4,2,18,43,-1,1,1,1,0,1.0982416043783472,6
0,1,4,3,18,43,-2,1,1,1,0,1.0982416043783472,5
0,1,4,4,18,43,-3,1,1,1,0,1.0982416043783472,4
0,1,4,5,43,18,1,1,1,1,0,-1.0982416043783472,3
0,1,4,6,18,43,-2,1,1,1,1,1.0982416043783472,2
0,1,4,7,43,18,-1,1,1,0,1,-1.0982416043783472,1
0,2,1,1,43,46,0,1,1,1,0,-0.9709030956987861,7
0,2,1,2,46,43,-1,1,1,1,0,0.9709030956987861,6
0,2,1,3,43,46,0,1,1,1,0,-0.9709030956987861,5
0,2,1,4,46,43,-2,1,1,1,0,0.9709030956987861,4
0,2,1,5,43,46,2,1,1,1,0,-0.9709030956987861,3
0,2,1,6,46,43,-3,1,1,1,1,0.9709030956987861,2
0,2,1,7,43,46,0,1,1,0,1,-0.9709030956987861,1
0,2,2,1,19,22,0,1,1,1,0,0.9548733490573076,7
0,2,2,2,22,19,-1,1,1,1,0,-0.9548733490573076,6
0,2,2,3,19,22,0,1,1,1,0,0.9548733490573076,5
0,2,2,4,19,22,-1,1,1,1,0,0.9548733490573076,4
0,2,2,5,22,19,0,1,1,1,0,-0.9548733490573076,3
0,2,2,6,22,19,-1,1,1,1,1,-0.9548733490573076,2
0,2,2,7,19,22,-1,1,1,0,1,0.9548733490573076,1
0,2,3,1,20,24,0,1,1,1,0,-0.8343352947857836,7
0,2,3,2,24,20,-1,1,1,1,0,0.8343352947857836,6
0,2,3,3,20,24,-3,1,1,1,0,-0.8343352947857836,5
0,2,3,4,20,24,-4,1,1,1,0,-0.8343352947857836,4
0,2,3,5,24,20,3,1,1,1,0,0.8343352947857836,3
0,2,3,6,24,20,2,1,1,1,1,0.8343352947857836,2
0,2,3,8,20,24,-2,1,1,0,1,-0.8343352947857836,0
0,2,4,1,10,27,0,1,1,1,0,0.4327183576122572,7
0,2,4,2,27,10,-1,1,1,1,0,-0.4327183576122572,6
0,2,4,3,10,27,0,1,1,1,0,0.4327183576122572,5
0,2,4,4,10,27,-1,1,1,1,0,0.4327183576122572,4
0,2,4,5,27,10,0,1,1,1,0,-0.4327183576122572,3
0,2,4,6,10,27,-1,1,1,1,1,0.4327183576122572,2
0,2,4,7,27,10,-1,1,1,0,1,-0.4327183576122572,1
0,3,1,1,18,24,0,1,1,1,0,-1.065301640377431,7
0,3,1,2,24,18,-1,1,1,1,0,1.065301640377431,6
0,3,1,3,18,24,-2,1,1,1,0,-1.065301640377431,5
0,3,1,4,24,18,0,1,1,1,0,1.065301640377431,4
0,3,1,5,18,24,-1,1,1,1,0,-1.065301640377431,3
0,3,1,6,18,24,-2,1,1,1,1,-1.065301640377431,2
0,3,1,7,24,18,-1,1,1,0,1,1.065301640377431,1
0,3,2,1,20,17,0,1,1,1,0,-0.3554989212126862,7
0,3,2,2,17,20,-1,1,1,1,0,0.3554989212126862,6
0,3,2,3,20,17,0,1,1,1,0,-0.3554989212126862,5
0,3,2,4,17,20,-2,1,1,1,0,0.3554989212126862,4
0,3,2,5,20,17,0,1,1,1,0,-0.3554989212126862,3
0,3,2,6,17,20,-3,1,1,1,1,0.3554989212126862,2
0,3,2,7,20,17,0,1,1,0,1,-0.3554989212126862,1
0,4,1,1,17,10,0,1,1,1,0,0.005290240588943229,7
0,4,1,2,10,17,-2,1,1,1,0,-0.005290240588943229,6
0,4,1,3,17,10,-2,1,1,1,0,0.005290240588943229,5
0,4,1,4,10,17,1,1,1,1,0,-0.005290240588943229,4
0,4,1,5,17,10,-2,1,1,1,0,0.005290240588943229,3
0,4,1,6,10,17,0,1,1,1,0,-0.005290240588943229,2
0,4,1,7,17,10,-1,1,1,1,1,0.005290240588943229,1
0,4,1,8,10,17,0,1,1,0,1,-0.005290240588943229,0
0,4,2,1,27,18,0,1,1,1,0,0.14845666860313306,7
0,4,2,2,18,27,-1,1,1,1,0,-0.14845666860313306,6
0,4,2,3,27,18,-2,1,1,1,0,0.14845666860313306,5
0,4,2,4,18,27,0,1,1,1,0,-0.14845666860313306,4
0,4,2,5,27,18,-3,1,1,1,0,0.14845666860313306,3
0,4,2,6,18,27,2,1,1,1,0,-0.14845666860313306,2
0,4,2,7,27,18,-3,1,1,1,0,0.14845666860313306,1
0,4,2,8,18,27,0,1,1,1,0,-0.14845666860313306,0
0,4,3,1,19,43,0,1,1,1,0,1.470698067196401,7
0,4,3,2,43,19,-1,1,1,1,0,-1.470698067196401,6
0,4,3,3,19,43,-1,1,1,1,0,1.470698067196401,5
0,4,3,4,43,19,-1,1,1,1,0,-1.470698067196401,4
0,4,3,5,19,43,0,1,1,1,0,1.470698067196401,3
0,4,3,6,19,43,-1,1,1,1,1,1.470698067196401,2
0,4,3,7,43,19,0,1,1,0,1,-1.470698067196401,1
0,4,4,1,22,46,0,1,1,1,0,-0.4550783775596928,7
0,4,4,2,46,22,-1,1,1,1,0,0.4550783775596928,6
0,4,4,3,46,22,-4,1,1,1,0,0.4550783775596928,5
0,4,4,4,46,22,-5,1,1,1,1,0.4550783775596928,4
0,4,4,5,22,46,4,1,1,0,0,-0.4550783775596928,3
0,4,4,7,22,46,4,1,1,0,0,-0.4550783775596928,1
0,5,1,1,19,46,0,1,1,1,0,0.4997949714976148,7
0,5,1,2,46,19,-1,1,1,1,0,-0.4997949714976148,6
0,5,1,3,19,46,0,1,1,1,0,0.4997949714976148,5
0,5,1,4,46,19,-1,1,1,1,0,-0.4997949714976148,4
0,5,1,5,46,19,-2,1,1,1,0,-0.4997949714976148,3
0,5,1,6,46,19,-3,1,1,1,1,-0.4997949714976148,2
0,5,1,7,19,46,0,1,1,0,1,0.4997949714976148,1
0,5,2,1,18,10,0,1,1,1,0,-0.5811750262153903,7
0,5,2,2,18,10,-3,1,1,1,0,-0.5811750262153903,6
