CompetitionID,SessionID,GameID,EndID,RefTeamID,OppTeamID,RefScoreDiffStartOfEnd,RefHasHammerStartOfEnd,RefEndDifferential,PPUsedThisEnd,RefPPAvailableBeforeEnd,OppPPAvailableBeforeEnd,EarlyQuit,MaxEndInGame,RefBTAbilityDiff
0,1,1,1,19,27,0,0,-1,0,1,1,0,8,0.22399979421492056
0,1,1,1,27,19,0,1,1,0,1,1,0,8,-0.22399979421492056
0,1,1,2,19,27,-1,1,2,0,1,1,0,8,0.22399979421492056
0,1,1,2,27,19,1,0,-2,0,1,1,0,8,-0.22399979421492056
0,1,1,3,19,27,1,0,-3,0,1,1,0,8,0.22399979421492056
0,1,1,3,27,19,-1,1,3,0,1,1,0,8,-0.22399979421492056
0,1,1,4,19,27,-2,1,1,0,1,1,0,8,0.22399979421492056
0,1,1,4,27,19,2,0,-1,0,1,1,0,8,-0.22399979421492056
0,1,1,5,19,27,-1,0,2,0,1,1,0,8,0.22399979421492056
0,1,1,5,27,19,1,1,-2,0,1,1,0,8,-0.22399979421492056
0,1,1,6,19,27,1,0,-1,-1,1,0,0,8,0.22399979421492056
0,1,1,6,27,19,-1,1,1,1,0,1,0,8,-0.22399979421492056
0,1,1,7,19,27,0,1,-3,1,0,0,0,8,0.22399979421492056
0,1,1,7,27,19,0,0,3,-1,0,0,0,8,-0.22399979421492056
0,1,1,8,19,27,-3,1,-1,0,0,0,0,8,0.22399979421492056
0,1,1,8,27,19,3,0,1,0,0,0,0,8,-0.22399979421492056
0,1,2,1,20,46,0,0,-1,0,1,1,0,8,0.35830485427120845
0,1,2,1,46,20,0,1,1,0,1,1,0,8,-0.35830485427120845
0,1,2,2,20,46,-1,1,1,0,1,1,0,8,0.35830485427120845
0,1,2,2,46,20,1,0,-1,0,1,1,0,8,-0.35830485427120845
0,1,2,3,20,46,0,0,-1,0,1,1,0,8,0.35830485427120845
0,1,2,3,46,20,0,1,1,0,1,1,0,8,-0.35830485427120845
0,1,2,4,20,46,-1,1,1,0,1,1,0,8,0.35830485427120845
0,1,2,4,46,20,1,0,-1,0,1,1,0,8,-0.35830485427120845
0,1,2,5,20,46,0,0,1,0,1,1,0,8,0.35830485427120845
